The Song of Bernadette,1943,Henry King,William Perlberg
Going My Way,1944,Leo McCarey,Leo McCarey
The Lost Weekend,1945,Billy Wilder,Charles Brackett
The Best Years of Our Lives,1946,William Wyler,Samuel Goldwyn
Gentleman's Agreement,1947,Elia Kazan,Darryl F. Zanuck
Johnny Belinda,1948,Jean Negulesco,Jerry Wald
The Treasure of the Sierra Madre,1948,John Huston,Henry Blanke
All the King's Men,1949,Robert Rossen,Robert Rossen
Sunset Boulevard,1950,Billy Wilder,Charles Brackett
A Place in the Sun,1951,George Stevens,George Stevens
The Greatest Show on Earth,1952,Cecil B. DeMille,Cecil B. DeMille
The Robe,1953,Henry Koster,Frank Ross
On the Waterfront,1954,Elia Kazan,Sam Spiegel
East of Eden,1955,Elia Kazan,Elia Kazan
Around the World in 80 Days,1956,Michael Anderson,Kevin McClory
The Bridge on the River Kwai,1957,David Lean,Sam Spiegel
The Defiant Ones,1958,Stanley Kramer,Stanley Kramer
Ben-Hur,1959,William Wyler,Sam Zimbalist
Spartacus,1960,Stanley Kubrick,Kirk Douglas
The Guns of Navarone,1961,J. Lee Thompson,Carl Foreman
Lawrence of Arabia,1962,David Lean,Sam Spiegel
The Cardinal,1963,Otto Preminger,Martin C. Schute
Becket,1964,Peter Glenville,Hal B. Wallis
Doctor Zhivago,1965,David Lean,Carlo Ponti
A Man for All Seasons,1966,Fred Zinnemann,Fred Zinnemann
In the Heat of the Night,1967,Norman Jewison,Walter Mirisch
The Lion in Winter,1968,Anthony Harvey,Martin Poll
Anne of the Thousand Days,1969,Charles Jarrott,Hal B. Wallis
Love Story,1970,Arthur Hiller,Howard G. Minsky
The French Connection,1971,William Friedkin,Philip D'Antoni
The Godfather,1972,Francis Ford Coppola,Albert S. Ruddy
The Exorcist,1973,William Friedkin,William Peter Blatty
Chinatown,1974,Roman Polanski,Robert Evans
One Flew Over the Cuckoo's Nest,1975,Miloš Forman,Michael Douglas
Rocky,1976,John G. Avildsen,Robert Chartoff and Irwin Winkler
The Turning Point,1977,Herbert Ross,Arthur Laurents
Midnight Express,1978,Alan Parker,Alan Marshall
Kramer vs. Kramer,1979,Robert Benton,Stanley R. Jaffe
Ordinary People,1980,Robert Redford,Ronald L. Schwary
On Golden Pond,1981,Mark Rydell,Bruce Gilbert
E.T. the Extra-Terrestrial,1982,Steven Spielberg,Steven Spielberg
Terms of Endearment,1983,James L. Brooks,James L. Brooks
Amadeus,1984,Miloš Forman,Saul Zaentz
Out of Africa,1985,Sydney Pollack,Sydney Pollack
Platoon,1986,Oliver Stone,Arnold Kopelson
The Last Emperor,1987,Bernardo Bertolucci,Jeremy Thomas
Rain Man,1988,Barry Levinson,Mark Johnson
Born on the Fourth of July,1989,Oliver Stone,A. Kitman Ho
Dances with Wolves,1990,Kevin Costner,Jim Wilson and Kevin Costner
Bugsy,1991,Barry Levinson,Warren Beatty
Scent of a Woman,1992,Martin Brest,Martin Brest
Schindler's List,1993,Steven Spielberg,Steven Spielberg
Forrest Gump,1994,Robert Zemeckis,Wendy Finerman
Sense and Sensibility,1995,Ang Lee,Laurie Borg
The English Patient,1996,Anthony Minghella,Saul Zaentz
Titanic,1997,James Cameron,James Cameron and Jon Landau
Saving Private Ryan,1998,Steven Spielberg,Steven Spielberg
American Beauty,1999,Sam Mendes,Bruce Cohen
Gladiator,2000,Ridley Scott,Douglas Wick
A Beautiful Mind,2001,Ron Howard,Brian Grazer
The Hours,2002,Stephen Daldry,Robert Fox and Scott Rudin
The Lord of the Rings: The Return of the King,2003,Peter Jackson,"Peter Jackson, Barrie M. Osborne, Fran Walsh"
The Aviator,2004,Martin Scorsese,Michael Mann
Brokeback Mountain,2005,Ang Lee,Diana Ossana
Babel,2006,Alejandro González Iñárritu,Steve Golin
Atonement,2007,Joe Wright,Tim Bevan
Slumdog Millionaire,2008,Danny Boyle,Christian Colson
Avatar,2009,James Cameron,James Cameron and Jon Landau
The Social Network,2010,David Fincher,"Scott Rudin, Dana Brunetti, Michael De Luca, Ceán Chaffin"
The Descendants,2011,Alexander Payne,"Jim Burke, Alexander Payne, Jim Taylor"
Argo,2012,Ben Affleck,"Ben Affleck, George Clooney, Grant Heslov"
12 Years a Slave,2013,Steve McQueen,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Bill Pohlad, Steve McQueen, Arnon Milchan, Anthony Katagas"
Boyhood,2014,Richard Linklater,"Richard Linklater, Cathleen Sutherland, Jonathan Sehring, John Sloss"
The Revenant,2015,Alejandro G. Iñárritu,"Steve Golin, Alejandro G. Iñárritu, Arnon Milchan, Mary Parent, Keith Redmon"
Moonlight,2016,Barry Jenkins,"Dede Gardner, Jeremy Kleiner, Adele Romanski"
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,"Graham Broadbent, Pete Czernin, Martin McDonagh"
Bohemian Rhapsody,2018,Bryan Singer,Graham King and Jim Beach
1917,2019,Sam Mendes,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, Callum McDougall, and Brian Oliver"
